,Title,Link,Content,Type,Language,Comments,Author
1,E-Payment at Hawker Centre (Hokkien) | Seniors Go Digital,https://www.youtube.com/watch?v=c5FPL9Q66QU,E-payment,Video,Chinese,,
2,Digital Lifestyle (Hokkien) | Seniors Go Digital,https://www.youtube.com/watch?v=VyPBcEE_y5Y,Whatsapp,Video,Chinese,,
3,E-Payment at Hawker Centre (Mandarin) | Seniors Go Digital,https://www.youtube.com/watch?v=2g1QeNYQpL8,E-payment,Video,Chinese,,
4,E-Payment at Hawker Centre (Tamil) | Seniors Go Digital,https://www.youtube.com/watch?v=Lz6_oOXnG5E,E-payment,Video,Tamil,,
5,E-Payment at Hawker Centre (Cantonese) | Seniors Go Digital,https://www.youtube.com/watch?v=xfAWDmVC-uw,E-payment,Video,Chinese,,
6,E-Payment at Hawker Centre (Malay) | Seniors Go Digital,https://www.youtube.com/watch?v=WPPUZXwtMgU,E-payment,Video,Malay,,
7,Digital Lifestyle (Cantonese) | Seniors Go Digital,https://www.youtube.com/watch?v=9tDyzh6VGvA,Whatsapp,Video,Chinese,,
8,Digital Lifestyle (Mandarin) | Seniors Go Digital,https://www.youtube.com/watch?v=IIjHSsKiH8w,Whatsapp,Video,Chinese,,
9,How to exit a community - Android | WhatsApp,https://www.youtube.com/embed/1Ivu0OvVbJg?si=tkw0ldOOYI-LyBFi,Whatsapp,Video,English,,
10,How to archive or unarchive a group or chat | WhatsApp| Android,https://www.youtube.com/embed/ZDdFX7-nifU?si=AZCUWmwKUJWlo5mD,Whatsapp,Video,English,,
11,How to Mute or Unmute Group Notifications | WhatsApp| Android,https://www.youtube.com/embed/phHf6w_TyDI?si=398R_TXbyym-vKRA,Whatsapp,Video,English,,
12,How to customize conversation tones for an individual or group chat | WhatsApp,https://www.youtube.com/embed/e-103zmWavM?si=VI5F6va-563GiV67,Whatsapp,Video,English,,
13,How to exit a community - iOS | WhatsApp,https://www.youtube.com/embed/JrnYNHVH0go?si=pPuQypxLMYwOwg4q,Whatsapp,Video,English,,
14,How to create a community | WhatsApp,https://www.youtube.com/embed/xDRGMku31mg?si=bNn-uZQgcOEB59wg,Whatsapp,Video,English,,
15,How to protect yourself against suspicious messages and contacts | WhatsApp,https://www.youtube.com/embed/zBmljlpW5to?si=mIqJ_LlLfyguNAqC,Whatsapp,Video,English,,
16,What Is The Announcement Group in a WhatsApp Community? | WhatsApp,https://www.youtube.com/embed/ZGCOg8xRm0k?si=0FFAlNaxd-TMBvJD,Whatsapp,Video,English,,
17,Five messaging tips to stay safe and secure | WhatsApp,https://www.youtube.com/embed/BUBFjrjPyNQ?si=cqQp0tAjoF4AtFkF,Whatsapp,Video,English,,
18,How to join group calls on WhatsApp,https://www.youtube.com/embed/PlrcarPxwdI?si=YPrBcctTGC8FjeWw,Whatsapp,Video,English,,
19,How To Use QR Codes | WhatsApp,https://www.youtube.com/embed/kZTCLQNnM2U?si=xbNksXx3GfAB3udj,Whatsapp,Video,English,,
20,How to Back Up Messages on Android | WhatsApp,https://www.youtube.com/embed/csVKjghjIgI?si=ZdA7o_MhySpw7qc-,Whatsapp,Video,English,,
21,How To Change Your Phone Number | WhatsApp,https://www.youtube.com/embed/FjekU-DE_p0?si=yXusGz_Uh45tGfzV,Whatsapp,Video,English,,
22,How to Use and Send GIFs | WhatsApp,https://www.youtube.com/embed/WG-hxLYYI6Y?si=hoIaZsM4SLQZBcUK,Whatsapp,Video,English,,
23,Mention Someone in A Group | Messaging Tips | WhatsApp,https://www.youtube.com/embed/XbVI66r6--M?si=584aeOcYkPicF3I7,Whatsapp,Video,English,,
24,How to Reply to Specific Messages in a Group or Individual Chat | Messaging Tips | Whatsapp,https://www.youtube.com/embed/Bwf_cSZ_EiY?si=dL3iKxezSAHnQU6M,Whatsapp,Video,English,,
25,How to Send a Voice Message | WhatsApp,https://www.youtube.com/embed/zN7LllEhbfw?si=M_l6lDJOUymIXk0F,Whatsapp,Video,English,,
26,How To Make Group Voice and Video Calls | Calling Tips | WhatsApp,https://www.youtube.com/embed/W28Ti9WjoKc?si=x8G3GfhoJFa4imMS,Whatsapp,Video,English,,
27,How to Make a Voice Call | WhatsApp,https://www.youtube.com/embed/PKXHIMb0HVw?si=eX3md0fuPwQ2Anzf,Whatsapp,Video,English,,
28,How To Use Stickers | WhatsApp,https://www.youtube.com/embed/PuZFg0m_EmM?si=jWvEkn96cRCyb3Ts,Whatsapp,Video,English,,
29,How to send documents on WhatsApp,https://www.youtube.com/embed/mFqZ5Vu7G7s?si=Og7o4DnN1GCuLHXn,Whatsapp,Video,English,,
30,How to Use Facebook Beginners Guide 2024,https://www.youtube.com/embed/amhjrRHqKqE?si=M28UBFxrfiG68iW6,Facebook,Video,English,,
31,How to Create a Facebook Account 2024,https://www.youtube.com/embed/d1RM0_DPids?si=gSy7D777l2Ho6Yt6,Facebook,Video,English,,
32,How to Recover Deleted Facebook Photos 2024,https://www.youtube.com/embed/-4mN_osJLgg?si=6NVINbscwS4xlQPe,Facebook,Video,English,,
33,How to Share YouTube Videos to Facebook on Mobile & Desktop 2024,https://www.youtube.com/embed/r7WzxizX8Bs?si=TpqwxswXdpsH8KNq,Facebook,Video,English,,
34,How to Delete Facebook Account on Android or iOS in 2024,https://www.youtube.com/embed/dgiboUWsg0U?si=6L680KAzTEJ4zMi2,Facebook,Video,English,,
35,How to Reactivate a Deleted Facebook Account in 2024,https://www.youtube.com/embed/uOVGkCv6mfE?si=aA3rI39vLW_OLhf4,Facebook,Video,English,,
36,How to Make Facebook Posts with Backgrounds,https://www.youtube.com/embed/n6GXE29HaRM?si=mlGF5ExqxkMIvt84,Facebook,Video,English,,
37,How to Set Up Facebook Memorialization and Legacy Contact Settings,https://www.youtube.com/embed/_dBoaRbwpyE?si=koqruKXM6VpSOnEr,Facebook,Video,English,,
38,How to Bulk Delete Old Facebook Posts,https://www.youtube.com/embed/BS84JiiGs3s?si=5a4OmREWUJjq3VE0,Facebook,Video,English,,
39,How to Make a Facebook Avatar,https://www.youtube.com/embed/UBfV9-n7uP0?si=acjdI1jHOP1ZLoAE,Facebook,Video,English,,
40,How to Log In & Out of Facebook,https://www.youtube.com/embed/1DsbodszP4k?si=5v4hrGZLxslPysYe,Facebook,Video,English,,
41,"How to add Facebook Reactions, Comments, & Shares",https://www.youtube.com/embed/s5zWty6oZmc?si=Z_iICs_Y4HFsmWdl,Facebook,Video,English,,
42,How to Reset Your Facebook Password If You Forget It,https://www.youtube.com/embed/Ty7SsAXUwvw?si=ptHP3izgsbG5N24G,Facebook,Video,English,,
43,How to Share & Play Facebook Videos in WhatsApp on iOS/Android,https://www.youtube.com/embed/o2pSwEjfV6s?si=SBwqe3d6pftNsX_O,Facebook/Whatsapp,Video,English,,
44,WhatsApp基礎使用教學 傳訊息、表情、回覆技巧 (Cantonese),https://www.youtube.com/watch?v=_DNB1XUlEYw&list=PLh0JHD2LLWKfiMBiH1l7ifhCihvGAvnBc&index=1,Whatsapp,Video,Chinese,,
45,教你 8 個 WhatsApp 使用小技巧 （Mandarin）,https://www.youtube.com/watch?v=w8uXF8TZyIk,Whatsapp,Video,Chinese,,
46,快速上手 WhatsApp | 安卓手机 | 安装 | 扫码加好友 | 找到自己的二维码 | How To Install/Use WhatsApp on Android | 简单实用保证五分钟学会,https://www.youtube.com/watch?v=XhP015RN4T8,WhatsApp,Video,Chinese,,
47,WhatsApp基礎使用教學設定個人檔案、傳送相片(Cantonese),https://www.youtube.com/watch?v=MAfo0_53fdU&list=PLh0JHD2LLWKfiMBiH1l7ifhCihvGAvnBc&index=2,WhatsApp,Video,Chinese,,
48,WhatsApp基礎使用教學解釋藍剔、如何錄音、星號訊息、搜尋訊息(Cantonese),https://www.youtube.com/watch?v=-rWOaFy48QM&list=PLh0JHD2LLWKfiMBiH1l7ifhCihvGAvnBc&index=3,WhatsApp,Video,Chinese,,
49,WhatsApp基礎使用教學訊息相關(編輯/刪除/置頂/封存)(Cantonese),https://www.youtube.com/watch?v=uNtRrmSp240&list=PLh0JHD2LLWKfiMBiH1l7ifhCihvGAvnBc&index=4,WhatsApp,Video,Chinese,,
50,WhatsApp基礎使用教學轉寄和分享的分別 / 分享位置(Cantonese),https://www.youtube.com/watch?v=GXCwNhz2X98&list=PLh0JHD2LLWKfiMBiH1l7ifhCihvGAvnBc&index=5,WhatsApp,Video,Chinese,,
51,WhatsApp基礎使用教學群組對話的功能與技巧(Cantonese),https://www.youtube.com/watch?v=-DQ5cKpyJa0&list=PLh0JHD2LLWKfiMBiH1l7ifhCihvGAvnBc&index=7,WhatsApp,Video,Chinese,,
52,WhatsApp基礎使用教學傳送相片的使用技巧(Cantonese),https://www.youtube.com/watch?v=2-j41yQZHj8&list=PLh0JHD2LLWKfiMBiH1l7ifhCihvGAvnBc&index=8,WhatsApp,Video,Chinese,,
53,WhatsApp基礎使用教學語音/視像通話、語音轉換視像、螢幕分享(Cantonese),https://www.youtube.com/watch?v=0t3atqA8Bt8&list=PLh0JHD2LLWKfiMBiH1l7ifhCihvGAvnBc&index=9,WhatsApp,Video,Chinese,,
54,WhatsApp基礎使用教學表情符號／GIF／貼圖(Cantonese),https://www.youtube.com/watch?v=1LJlvt31SFM&list=PLh0JHD2LLWKfiMBiH1l7ifhCihvGAvnBc&index=10,WhatsApp,Video,Chinese,,
55,基本Whatsapp 技巧 (Mandarin/中文),https://www.youtube.com/watch?v=P2ie4IXze1k,WhatsApp,Video,Chinese,,
56,基本Whatsapp 技巧 (Hokkien version/福建话),https://www.youtube.com/watch?v=r8Hwj6MoKn0,WhatsApp,Video,Chinese,,
57,如何使用Whatsapp通话 福建讲解 (福建话/Hokkien）,https://www.youtube.com/watch?v=3SjtM96NccA,WhatsApp,Video,Chinese,,
58,如何使用Whatsapp通话中文讲解 (Mandarin/中文),https://youtu.be/dWtfpSfQIe4?si=IXq906-dDpnQQuQb&t=34,WhatsApp,Video,Chinese,,
59,福建话 如何使用 Apple Facetime 和 Whatsapp 视频通话？包括一些问答,https://www.youtube.com/watch?v=0SIOexzwMAA,WhatsApp,Video,Chinese,,
60,FB脸书教学 一次学会超实用功能！教你换大头照 打卡 发文 删好友【如果云知道 郑凯云】,https://www.youtube.com/watch?v=lcExCuY3b0Q,Facebook,Video,Chinese,,
61,FB脸书教学教你分享文章视频还可以打电话！一次学会超实用功能！【如果云知道郑凯云】,https://www.youtube.com/watch?v=OVY7knxv_Zk,Facebook,Video,Chinese,,
62,[福建课程1] - 如何使用'脸书' (Sibei Kiang ep 1 - Facebook Hokkien/福建 Tutorial) ,https://www.youtube.com/watch?v=qCLhnrhpoKs,Facebook,Video,Chinese,,
63,给中国人的YouTube使用教程 | 亮点、技巧、插件 YouTube Tutorial(Mandarin/中文),https://www.youtube.com/watch?v=WSPI21gUpCs,Youtube,Video,Chinese,,
